week,day,concept,task,level,confidence,completed,instructions,course
1,1,Setting up: Markdown,Watch the 'What is markdown?' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE ,wdx-180
1,1,Setting up: CSV,Complete the 'Understanding CSV Files' challenge,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,1,Setting up: Slack,Connect on Slack: https://intechgration.slack.com,Beginner,0,FALSE,Say hello to us on Slack!,wdx-180
1,1,Setting up: GitHub,Watched the 'WDX-180 - Setting up: SSH Keys Cloning repo & update progress' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,1,Setting up: WDX,Fork WDX repository,Beginner,0,FALSE,Paste forked repo URL,wdx-180
1,1,Setting up: WDX,Enable GitHub Pages on forked WDX repository,Beginner,0,FALSE,Paste GitHub Page URL here (https://your_username.github.io/WDX-180),wdx-180
1,1,Setting up: Code editor,Install VSCode,Beginner,0,FALSE,Updated FALSE to TRUE in the COMPLETED column,wdx-180
1,1,Setting up: Code editor,Install VSCode WDX Extension Pack,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,1,Setting up: Node,Install Node.js (LTS),Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,1,Setting up: Version Control,Install Git,Beginner,0,FALSE,Run git --version and paste the output of the command here,wdx-180
1,1,Setting up: Productivity,Install Wikiwand Browser Extension: https://www.wikiwand.com/,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,1,Computing Basics,Complete the 'Decode the secret message' challenge,Beginner,0,FALSE,Paste the secret message here,wdx-180
1,1,Setting up: GitHub,Watched the 'WDX-180: Keeping our forked repository up-to-date and in-sync with the original repo' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Internet Works,Watch: the 'What is the Internet?' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Internet Works,Watch: the 'The Internet: Wires Cables & Wifi' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Internet Works,Watch: the 'The Internet: IP Addresses & DNS' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Internet Works,Watch: the 'The Internet: Packets Routing & Reliability' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Internet Works,Read 'How the Internet works',Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Internet Works,Watch: the 'How the Internet Works in 5 Minutes' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Watch: the 'The Internet: HTTP & HTML' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Read: 'How the web works',Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Read: 'What is a web server?',Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Read: 'What is a URL?',Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Read: 'What is a Domain Name?',Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Watch: the 'What is Localhost?' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Internet Works,Site Blocking: block the 'budgetsaresexy.com' website through the hosts file,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Complete the 'Absolute vs Relative URLs' test,Beginner,0,FALSE,Copy responses.json to user/week01/exercises/day02/Absolute_vs_Relative_URLs folder. Commit and push your changes and then Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Watch: the 'How a web browser builds and displays a web page' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Watch: the 'The Internet: Encryption & Public Keys' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Watch: the 'The Internet: Cybersecurity & Crime' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,2,How the Web Works,Watch: the 'The Internet: How Search Works' video,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,3,HTML,Bookmark 'htmlreference.io',Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE,wdx-180
1,3,HTML,Complete the '1-parent-child' exercise,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE. Store solution in appropriate folder: /user/week01/exercises/day03/1-parent-child.,wdx-180
1,3,HTML,Complete the 'HTML Attributes' exercise,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE. Store solution in appropriate folder: /user/week01/exercises/day03/2-html-attributes.,wdx-180
1,3,HTML,Complete the 'Semantic HTML' exercise,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE. Store solution in appropriate folder: /user/week01/exercises/day03/3-semantic-html.,wdx-180
1,3,HTML,Complete the 'markdowntutorial.com' exercise,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE.,wdx-180
1,4,CSS,Styling the worlds first website,Beginner,0,FALSE,Update CONFIDENCE column. Change COMPLETED column to TRUE. Paste the URL of the webpage in here.,wdx-180
1,5,JavaScript in a Day,Complete the 'Largest Number Checker' exercise,Beginner,0,FALSE,Update FALSE to TRUE in the COMPLETED column,wdx-180
1,5,JavaScript in a Day,Complete the 'Landscape Mode Checker' exercise,Beginner,0,FALSE,Update FALSE to TRUE in the COMPLETED column,wdx-180
1,5,JavaScript in a Day,Complete the 'Simple Quiz' exercise,Beginner,0,FALSE,Update FALSE to TRUE in the COMPLETED column,wdx-180
1,5,JavaScript in a Day,Complete the 'Schnick-Schnack-Schnuck' exercise,Beginner,0,FALSE,Update FALSE to TRUE in the COMPLETED column,wdx-180
2,1,Version Control: Git & GitHub,Watch 'Git Tutorial For Dummies' and code along,Beginner,0,FALSE,Update FALSE to TRUE in the COMPLETED column,wdx-180
2,1,Version Control: Git & GitHub,Follow the steps mentioned in the 'Git Tutorial For Dummies' video and recreate the repository under your GitHub account,Beginner,0,FALSE,Paste the full GitHub URL of the gitVideo repository,wdx-180
2,1,Version Control: Git & GitHub,Watch 'Git and GitHub for Beginners - Crash Course',Beginner,0,FALSE,Update FALSE to TRUE in the COMPLETED column,wdx-180
2,1,Version Control: Git & GitHub,Sign up with GitHub,Beginner,0,FALSE,Paste GitHub username,wdx-180
2,1,Version Control: Git & GitHub,Set up SSH keys for GitHub,Beginner,0,FALSE,Update FALSE to TRUE in the COMPLETED column,wdx-180
2,1,Version Control: Git & GitHub,Create a (demo-repo) GitHub repository,Beginner,0,FALSE,Paste GitHub repository URL,wdx-180
2,1,Version Control: Git & GitHub,Create a profile README on GitHub following this guide: https://docs.github.com/en/account-and-profile/setting-up-and-managing-your-github-profile/customizing-your-profile/managing-your-profile-readme,Beginner,0,FALSE,Paste GitHub readme URL e.g. https://github.com/kostasx/kostasx,wdx-180
2,2,HTML,Active learning: Inspecting a simple example,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: Experiment with character encoding,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: The description's use in search engines,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: applying CSS and JavaScript to a page,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: Giving our content structure,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: Marking up an unordered list,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: Marking up an ordered list,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: Marking up our recipe page,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Test your skills: HTML text fundamentals (3x Tasks),Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: creating your own example link,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Active learning: creating a navigation menu,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
2,2,HTML,Test your skills: Creating hyperlinks (3x Tasks),Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL,wdx-180
